taxon,country,state_province,county_parish,user_id
Eucalyptus,Australia,Western Australia,,1
Abrothallus bertianus,Austria,,,2
Cocos nucifera,Jamaica,,,3
Eucalyptus,Mexico,,,4
Larrea tridentata,Mexico,,,5
Pinus ayacahuite,Mexico,,,6
Quercus ilex,Spain,,,7
Pinus balfouriana,Spain,,,8
Opuntia engelmannii,Spain,,,9
Opuntia engelmannii,United States,,,10
Opuntia engelmannii,United States,Arizona,,11
Opuntia engelmannii,Norway,,,12
Ceiba pentandra,Peru,,,13
Pinus ayacahuite,Peru,,,14
Pinus ponderosa,Peru,,,15
Pinus ponderosa,United States,,,16
Pinus ponderosa,United States,Arizona,,17
Pinus ponderosa,United States,Arizona,Pima,18
Umbellularia californica,United States,,,19
Umbellularia californica,United States,California,,20
Umbellularia californica,United States,Arizona,,21
Umbellularia californica,United States,Arizona,Pima,22
Larrea tridentata,Argentina,,,23
Pinus ponderosa,Argentina,,,24
Ceiba pentandra,Brazil,,,25
Ceiba pentandra,Brazil,Amazonas,,26
Ceiba pentandra,Canada,,,27
Erigeron bonariensis,Jamaica,,,28
Cyrilla racemiflora,Jamaica,,,29
Tetracentraceae,United States,,,30
Pinaceae,United States,,,31
Blandfordiaceae,Peru,,,32
Blandfordiaceae,United States,,,33
Blandfordiaceae,Australia,,,34
Blandfordiaceae,France,,,35